mode_number,singular_value,energy_fraction,cumulative_energy
1,110.99797086705044,0.6828528135740572,0.6828528135740572
2,52.580759235864555,0.15323244437337954,0.8360852579474367
3,39.37410696165261,0.08592478565886554,0.9220100436063023
4,25.184850142635458,0.03515408237165486,0.9571641259779573
5,20.67591678184098,0.023693355733436373,0.9808574817113935
6,12.16392907390852,0.008200584015004252,0.9890580657263979
7,9.932723307088386,0.005468065387261943,0.9945261311136597
8,6.784614869534226,0.0025512171381774137,0.9970773482518371
9,5.262282079163339,0.0015347769655266645,0.9986121252173638
10,3.4146513585826046,0.0006462339354062909,0.9992583591527701
11,2.5584460449712334,0.0003627851896679917,0.9996211443424381
12,1.8620939966022003,0.00019217647534862346,0.9998133208177867
13,1.3096405182306117,9.5060748590591e-05,0.9999083815663773
14,0.9083748247116886,4.573273795547085e-05,0.9999541143043328
15,0.6447515785668468,2.30399669723054e-05,0.9999771542713052
16,0.4578491909830494,1.161828234044988e-05,0.9999887725536457
17,0.32062015041800596,5.697425447657203e-06,0.9999944699790935
18,0.22462279006623156,2.796434546776874e-06,0.9999972664136402
19,0.15799164107951263,1.3834556595732e-06,0.9999986498692996
20,0.11118987636364758,6.852160367613048e-07,0.9999993350853364
21,0.07801665096334962,3.3734294393929793e-07,0.9999996724282803
22,0.05474515044827946,1.6610715166799383e-07,0.999999838535432
23,0.038440556996064246,8.189857923394865e-08,0.9999999204340112
24,0.026992481328716497,4.0381518238614266e-08,0.9999999608155294
25,0.01894367731610828,1.9889579375355344e-08,0.9999999807051089
26,0.01329380940634146,9.794807834956042e-09,0.9999999904999166
27,0.009328922761749696,4.8234748534155995e-09,0.9999999953233913
28,0.006546063895418377,2.374966587948104e-09,0.9999999976983579
29,0.004592786296371756,1.169094184189501e-09,0.9999999988674521
30,0.0032220221451553415,5.753790780671834e-10,0.9999999994428312
31,0.0022601283153903962,2.8311521951726123e-10,0.9999999997259464
32,0.0015852483468786547,1.3928092485122593e-10,0.9999999998652275
33,0.0011117956948535504,6.850890088124414e-11,0.9999999999337364
34,0.0007796645137782207,3.3690895894922525e-11,0.9999999999674273
35,0.0005466892425558896,1.6564490430286226e-11,0.9999999999839919
36,0.0003832914074260396,8.142451694925613e-12,0.9999999999921344
37,0.0002687049531558022,4.001735390233859e-12,0.9999999999961361
38,0.0001883540693129588,1.966287592454471e-12,0.9999999999981024
39,0.00013201529594487958,9.659297254703155e-13,0.9999999999990684
40,9.251779951775778e-05,4.744032040548617e-13,0.9999999999995429
41,6.483033844824786e-05,2.329451118990276e-13,0.9999999999997757
42,4.542349225649777e-05,1.1435576547219225e-13,0.9999999999998901
43,3.182220696242362e-05,5.612516307095735e-14,0.9999999999999462
44,2.229089536360694e-05,2.7539246314748608e-14,0.9999999999999738
45,1.5612462483324307e-05,1.3509517540380782e-14,0.9999999999999873
46,1.0933527140954409e-05,6.625483834728317e-15,0.999999999999994
47,7.655839215728376e-06,3.2484982116373236e-15,0.9999999999999972
48,5.360040498068278e-06,1.592330324952695e-15,0.9999999999999988
49,3.752191269862964e-06,7.803096202882454e-16,0.9999999999999996
50,2.6262864802871787e-06,3.822796854372215e-16,1.0
51,1.837968888951044e-06,1.8722909398001276e-16,1.0000000000000002
52,1.286091743611621e-06,9.1672890331674e-17,1.0000000000000002
53,8.997921605493085e-07,4.487262066462784e-17,1.0000000000000002
54,6.294301714547825e-07,2.19579674800467e-17,1.0000000000000002
55,4.4023711800807943e-07,1.0741633674960787e-17,1.0000000000000002
56,3.078634760474623e-07,5.253072094784016e-18,1.0000000000000002
57,2.1525870325732675e-07,2.5681386289856462e-18,1.0000000000000002
58,1.504848923849384e-07,1.2551130005246075e-18,1.0000000000000002
59,1.0518487566197569e-07,6.132020806612823e-19,1.0000000000000002
60,7.35089938019054e-08,2.9948700327975977e-19,1.0000000000000002
61,5.136330710157406e-08,1.4621872117798156e-19,1.0000000000000002
62,3.58830485127582e-08,7.136342552332336e-20,1.0000000000000002
63,2.506386475631986e-08,3.481714056609807e-20,1.0000000000000002
64,1.7503608711286623e-08,1.698056812166671e-20,1.0000000000000002
65,1.2221554541560853e-08,8.27846704870776e-21,1.0000000000000002
66,8.531847289260083e-09,4.034439162368388e-21,1.0000000000000002
67,5.954918290245874e-09,1.9653895267978482e-21,1.0000000000000002
68,4.1554990069575485e-09,9.570693091474214e-22,1.0000000000000002
69,2.899235632898917e-09,4.658692562989203e-22,1.0000000000000002
70,2.0223443669383466e-09,2.2667688886361414e-22,1.0000000000000002
71,1.4103808259028977e-09,1.1024777012867949e-22,1.0000000000000002
72,9.833890307782004e-10,5.359789619425626e-23,1.0000000000000002
